teu_change_id,treaty,current_id,action,old_txt,new_txt,teu_id
,,,insert,,"Article 8a 1. Every citizen of the Union shall have the right to move and reside freely within the territory of the Member States, subject to the limitations and conditions laid down in this Treaty and by the measures adopted to give it effect. 2. The Council may adopt provisions with a view to facilitating the exercise of the rights referred to in paragraph 1; save as otherwise provided in this Treaty, the Council shall act unanimously on a proposal from the Commission and after obtaining the assent of the European Parliament.",8a
,,,insert,,"Article 8b 1. Every citizen of the Union residing in a Member State of which he is not a national shall have the right to vote and to stand as a candidate at municipal elections in the Member State in which he resides, under the same conditions as nationals of that State. This right shall be exercised subject to detailed arrangements to be adopted before 31 December 1994 by the Council, acting unanimously on a proposal from the Commission and after consulting the European Parliament; these arrangements may provide for derogations where warranted by problems specific to a Member State. 2. Without prejudice to Article 138(3) and to the provisions adopted for its implementation, every citizen of the Union residing in a Member State of which he is not a national shall have the right to vote and to stand as a candidate in elections to the European Parliament in the Member State in which he resides, under the same conditions as nationals of that State. This right shall be exercised subject to detailed arrangements to be adopted before 31 December 1993 by the Council, acting unanimously on a proposal from the Commission and after consulting the European Parliament; these arrangements may provide for derogations where warranted by problems specific to a Member State.",8b
,,,insert,,"Article 8c Every citizen of the Union shall, in the territory of a third country in which the Member State of which he is a national is not represented, be entitled to protection by the diplomatic or consular authorities of any Member State, on the same conditions as the nationals of that State. Before 31 December 1993, Member States shall establish the necessary rules among themselves and start the international negotiations required to secure this protection.",8c
,,,insert,,Article 8d Every citizen of the Union shall have the right to petition the European Parliament in accordance with Article 138d. Every citizen of the Union may apply to the Ombudsman established in accordance with Article 138e.,8d
,,,insert,,"Article 8e The Commission shall report to the European Parliament, to the Council and to the Economic and Social Committee before 31 December 1993 and then every three years on the application of the provisions of this Part. This report shall take account of the development of the Union. On this basis, and without prejudice to the other provisions of this Treaty, the Council, acting unanimously on a proposal from the Commission and after consulting the European Parliament, may adopt provisions to strengthen or to add to the rights laid down in this Part, which it shall recommend to the Member States for adoption in accordance with their respective constitutional requirements.",8e
*** ,"party two and three shall be grouped under title three ""community policies""",,,,,
,,49,repl_text,"Upon the entry into force of this Treaty, the Council, acting on a proposal of the Commission and after the Economic and Social Committee has been consulted, shall, by means of directives or regulations, lay down the measures necessary to effect progressively the free movement of workers, as defined in the preceding Article, in particular:","As soon as this Treaty enters into force, the Council shall, acting in accordance with the procedure referred to in Article 189b and after consulting the Economic and Social Committee, issue directives or make regulations setting out the measures required to bring about, by progressive stages, freedom of movement for workers, as defined in Article 48, in particular:",
,,54,repl_text,"2. In order to implement the general programme or, if no such programme exists, to complete one stage towards the achievement of freedom of establishment for a specific activity, the Council, on a proposal of the Commission and after the Economic and Social Committee and the Assembly have been consulted, shall, until the end of the first stage by means of a unanimous vote and subsequently by means of a qualified majority vote, act by issuing directives.","2. In order to implement this general programme or, in the absence of such programme, in order to achieve a stage in attaining freedom of establishment as regards a particular activity, the Council, acting in accordance with the procedure referred to in Article 189b and after consulting the Economic and Social Committee, shall act by means of directives.",
,,56,repl_text,"2. Before the expiry of the transitional period, the Council, acting by means of a unanimous vote on a proposal of the Commission and after the Assembly has been consulted, shall issue directives for the co-ordination of the above-mentioned legislative and administrative provisions. After the end of the second stage, however, the Council, acting by means of a qualified majority vote on a proposal of the Commission, shall issue directives for co-ordinating such provisions as, in each Member State, fall within the administrative field.","2. Before the end of the transitional period, the Council shall, acting unanimously on a proposal from the Commission and after consulting the European Parliament, issue directives for the coordination of the abovementioned provisions laid down by law, regulation or administrative action. After the end of the second stage, however, the Council shall, acting in accordance with the procedure referred to in Article 189b, issue directives for the coordination of such provisions as, in each Member State, are a matter for regulation or administrative action.",
,,57,repl_ent,,"Article 57 1. In order to make it easier for persons to take up and pursue activities as self-employed persons, the Council shall, acting in accordance with the procedure referred to in Article 189b, issue directives for the mutual recognition of diplomas, certificates and other evidence of formal qualifications. 2. For the same purpose, the Council shall, before the end of the transitional period, issue directives for the coordination of the provisions laid down by law, regulation or administrative action in Member States concerning the taking up and pursuit of activities as self-employed persons. The Council, acting unanimously on a proposal from the Commission and after consulting the European Parliament, shall decide on directives the implementation of which involves in at least one Member State amendment of the existing principles laid down by law governing the professions with respect to training and conditions of access for natural persons. In other cases the Council shall act in accordance with the procedure referred to in Article 189b. 3. In the case of the medical and allied and pharmaceutical professions, the progressive abolition of restrictions shall be dependent upon coordination of the conditions for their exercise in the various Member States.",
***,,,repl_title,,Chapter 4 Capital and payments,
,,,insert,,"Article 73a As from 1 January 1994, Articles 67 to 73 shall be replaced by Articles 73b, c, d, e, f and g.",73a
,,,insert,,"Article 73b 1. Within the framework of the provisions set out in this Chapter, all restrictions on the movement of capital between Member States and between Member States and third countries shall be prohibited. 2. Within the framework of the provisions set out in this Chapter, all restrictions on payments between Member States and between Member States and third countries shall be prohibited.",73b
,,,insert,,"Article 73c 1. The provisions of Article 73b shall be without prejudice to the application to third countries of any restrictions which exist on 31 December 1993 under national or Community law adopted in respect of the movement of capital to or from third countries involving direct investment - including investment in real estate -, establishment, the provision of financial services or the admission of securities to capital markets. 2. Whilst endeavouring to achieve the objective of free movement of capital between Member States and third countries to the greatest extent possible and without prejudice to the other Chapters of this Treaty, the Council may, acting by a qualified majority on a proposal from the Commission, adopt measures on the movement of capital to or from third countries involving direct investment - including investment in real estate -, establishment, the provision of financial services or the admission of securities to capital markets. Unanimity shall be required for measures under this paragraph which constitute a step back in Community law as regards the liberalization of the movement of capital to or from third countries.",73c
,,,insert,,"Article 73d 1. The provisions of Article 73b shall be without prejudice to the right of Member States: (a) to apply the relevant provisions of their tax law which distinguish between tax-payers who are not in the same situation with regard to their place of residence or with regard to the place where their capital is invested; (b) to take all requisite measures to prevent infringements of national law and regulations, in particular in the field of taxation and the prudential supervision of financial institutions, or to lay down procedures for the declaration of capital movements for purposes of administrative or statistical information, or to take measures which are justified on grounds of public policy or public security. 2. The provisions of this Chapter shall be without prejudice to the applicability of restrictions on the right of establishment which are compatible with this Treaty. 3. The measures and procedures referred to in paragraphs 1 and 2 shall not constitute a means of arbitrary discrimination or a disguised restriction on the free movement of capital and payments as defined in Article 73b.",73d
,,,insert,,"Article 73e By way of derogation from Article 73b, Member States which, on 31 December 1993, enjoy a derogation on the basis of existing Community law, shall be entitled to maintain, until 31 December 1995 at the latest, restrictions on movements of capital authorized by such derogations as exist on that date.",73e
,,,insert,,"Article 73f Where, in exceptional circumstances, movements of capital to or from third countries cause, or threaten to cause, serious difficulties for the operation of economic and monetary union, the Council, acting by a qualified majority on a proposal from the Commission and after consulting the ECB, may take safeguard measures with regard to third countries for a period not exceeding six months if such measures are strictly necessary.",73f
,,,insert,,"Article 73g 1. If, in the cases envisaged in Article 228a, action by the Community is deemed necessary, the Council may, in accordance with the procedure provided for in Article 228a, take the necessary urgent measures on the movement of capital and on payments as regards the third countries concerned. 2. Without prejudice to Article 224 and as long as the Council has not taken measures pursuant to paragraph 1, a Member State may, for serious political reasons and on grounds of urgency, take unilateral measures against a third country with regard to capital movements and payments. The Commission and the other Member States shall be informed of such measures by the date of their entry into force at the latest. The Council may, acting by a qualified majority on a proposal from the Commission, decide that the Member State concerned shall amend or abolish such measures. The President of the Council shall inform the European Parliament of any such decision taken by the Council.",73g
,,,insert,,"Article 73h Until 1 January 1994, the following provisions shall be applicable: 1) Each Member State undertakes to authorize, in the currency of the Member State in which the creditor or the beneficiary resides, any payments connected with the movement of goods, services or capital, and any transfers of capital and earnings, to the extent that the movement of goods, services, capital and persons between Member States has been liberalized pursuant to this Treaty. The Member States declare their readiness to undertake the liberalization of payments beyond the extent provided in the preceding subparagraph, in so far as their economic situation in general and the state of their balance of payments in particular so permit. 2) In so far as movements of goods, services and capital are limited only by restrictions on payments connected therewith, these restrictions shall be progressively abolished by applying, mutatis mutandis, the provisions of this Chapter and the Chapters relating to the abolition of quantitative restrictions and to the liberalization of services. 3) Member States undertake not to introduce between themselves any new restrictions on transfers connected with the invisible transactions listed in Annex III to this Treaty. The progressive abolition of existing restrictions shall be effected in accordance with the provisions of Articles 63 to 65, in so far as such abolition is not governed by the provisions contained in paragraphs 1 and 2 or by the other provisions of this Chapter. 4) If need be, Member States shall consult each other on the measures to be taken to enable the payments and transfers mentioned in this Article to be effected; such measures shall not prejudice the attainment of the objectives set out in this Treaty.",73h
,,75,repl_ent,,"Article 75 1. For the purpose of implementing Article 74, and taking into account the distinctive features of transport, the Council shall, acting in accordance with the procedure referred to in Article 189c and after consulting the Economic and Social Committee, lay down: (a) common rules applicable to international transport to or from the territory of a Member State or passing across the territory of one or more Member States; (b) the conditions under which non-resident carriers may operate transport services within a Member State; (c) measures to improve transport safety; (d) any other appropriate provisions. 2. The provisions referred to in (a) and (b) of paragraph 1 shall be laid down during the transitional period. 3. By way of derogation from the procedure provided for in paragraph 1, where the application of provisions concerning the principles of the regulatory system for transport would be liable to have a serious effect on the standard of living and on employment in certain areas and on the operation of transport facilities, they shall be laid down by the Council acting unanimously on a proposal from the Commission, after consulting the European Parliament and the Economic and Social Committee. In so doing, the Council shall take into account the need for adaptation to the economic development which will result from establishing the common market.",
***,"The title of Title I in Part Three shall be replaced by the following: TITLE V COMMON RULES ON COMPETITION, TAXATION AND APPROXIMATION OF LAWS",,,,,
,,92,repl_text,"Article 92 1. Except where otherwise provided for in this Treaty, any aid, granted by a Member State or granted by means of State resources, in any manner whatsoever, which distorts or threatens to distort competition by favouring certain enterprises or certain productions shall, to the extent to which it adversely affects trade between Member States, be deemed to be incompatible with the Common Market. 2. The following shall be deemed to be compatible with the Common Market: (a) aids of a social character granted to individual consumers, provided that such aids are granted without any discrimination based on the origin of the products concerned; (b) aids intended to remedy damage caused by natural calamities or other extraordinary events; or (c) aids granted to the economy of certain regions of the Federal Republic of Germany affected by the division of Germany, to the extent that such aids are necessary in order to compensate for the economic disadvantages caused by such division. 3. The following may be deemed to be compatible with the Common Market: (a) aids intended to promote the economic development of regions where the standard of living is abnormally low or where there exists serious under-employment; (b) aids intended to promote the execution of important projects of common European interest or to remedy a serious disturbance of the economy of a Member State; (c) aids intended to facilitate the development of certain activities or of certain economic regions, provided that such aids do not change trading conditions to such a degree as would be contrary to the common interest. Any aids to shipbuilding existing on 1 January 1957 shall, to the extent that such aids merely offset the absence of customs protection, be progressively reduced under the same conditions as apply to the abolition of customs duties, subject to the provisions of this Treaty relating to the common commercial policy in regard to third countries; and (d) such other categories of aids as may be specified by decision of the Council acting by means of a qualified majority vote on a proposal of the Commission.","Article 92 1. Except where otherwise provided for in this Treaty, any aid, granted by a Member State or granted by means of State resources, in any manner whatsoever, which distorts or threatens to distort competition by favouring certain enterprises or certain productions shall, to the extent to which it adversely affects trade between Member States, be deemed to be incompatible with the Common Market. 2. The following shall be deemed to be compatible with the Common Market: (a) aids of a social character granted to individual consumers, provided that such aids are granted without any discrimination based on the origin of the products concerned; (b) aids intended to remedy damage caused by natural calamities or other extraordinary events; or (c) aids granted to the economy of certain regions of the Federal Republic of Germany affected by the division of Germany, to the extent that such aids are necessary in order to compensate for the economic disadvantages caused by such division. 3. The following may be deemed to be compatible with the Common Market: (a) aids intended to promote the economic development of regions where the standard of living is abnormally low or where there exists serious under-employment; (b) aids intended to promote the execution of important projects of common European interest or to remedy a serious disturbance of the economy of a Member State; (c) aids intended to facilitate the development of certain activities or of certain economic regions, provided that such aids do not change trading conditions to such a degree as would be contrary to the common interest. Any aids to shipbuilding existing on 1 January 1957 shall, to the extent that such aids merely offset the absence of customs protection, be progressively reduced under the same conditions as apply to the abolition of customs duties, subject to the provisions of this Treaty relating to the common commercial policy in regard to third countries; and (d) aid to promote culture and heritage conservation where such aid does not affect trading conditions and competition in the Community to an extent that is contrary to the common interest; (e) such other categories of aids as may be specified by decision of the Council acting by means of a qualified majority vote on a proposal of the Commission.",
,,94,repl_ent,,"Article 94 The Council, acting by a qualified majority on a proposal from the Commission and after consulting the European Parliament, may make any appropriate regulations for the application of Articles 92 and 93 and may in particular determine the conditions in which Article 93(3) shall apply and the categories of aid exempted from this procedure.",
,,99,repl_ent,,"Article 99 The Council shall, acting unanimously on a proposal from the Commission and after consulting the European Parliament and the Economic and Social Committee, adopt provisions for the harmonization of legislation concerning turnover taxes, excise duties and other forms of indirect taxation to the extent that such harmonization is necessary to ensure the establishment and the functioning of the internal market within the time limit laid down in Article 7a.",
,,100,repl_ent,,"Article 100 The Council shall, acting unanimously on a proposal from the Commission and after consulting the European Parliament and the Economic and Social Committee, issue directives for the approximation of such laws, regulations or administrative provisions of the Member States as directly affect the establishment or functioning of the common market.",
*** where is 100a ?,,100a(1),repl_text,???,"1. By way of derogation from Article 100 and save where otherwise provided in this Treaty, the following provisions shall apply for the achievement of the objectives set out in Article 7a. The Council shall, acting in accordance with the procedure referred to in Article 189b and after consulting the Economic and Social Committee, adopt the measures for the approximation of the provisions laid down by law, regulation or administrative action in Member States which have as their object the establishment and functioning of the internal market.",
,,100c,insert,,"Article 100c 1. The Council, acting unanimously on a proposal from the Commission and after consulting the European Parliament, shall determine the third countries whose nationals must be in possession of a visa when crossing the external borders of the Member States. 2. However, in the event of an emergency situation in a third country posing a threat of a sudden inflow of nationals from that country into the Community, the Council, acting by a qualified majority on a recommendation from the Commission, may introduce, for a period not exceeding six months, a visa requirement for nationals from the country in question. The visa requirement established under this paragraph may be extended in accordance with the procedure referred to in paragraph 1. 3. From 1 January 1996, the Council shall adopt the decisions referred to in paragraph 1 by a qualified majority. The Council shall, before that date, acting by a qualified majority on a proposal from the Commission and after consulting the European Parliament, adopt measures relating to a uniform format for visas. 4. In the areas referred to in this Article, the Commission shall examine any request made by a Member State that it submit a proposal to the Council. 5. This Article shall be without prejudice to the exercise of the responsibilities incumbent upon the Member States with regard to the maintenance of law and order and the safeguarding of internal security. 6. This Article shall apply to other areas if so decided pursuant to Article K.9 of the provisions of the Treaty on European Union which relate to cooperation in the fields of justice and home affairs, subject to the voting conditions determined at the same time. 7. The provisions of the conventions in force between the Member States governing areas covered by this Article shall remain in force until their content has been replaced by directives or measures adopted pursuant to this Article.",
,,100d,insert,,"Article 100d The Coordinating Committee consisting of senior officials set up by Article K.4 of the Treaty on European Union shall contribute, without prejudice to the provisions of Article 151, to the preparation of the proceedings of the Council in the fields referred to in Article 100c.",
***,"Title II, Chapters 1, 2 and 3 in Part Three shall be replaced by the following",,,,,
***,,102a,insert,,"Article 102a Member States shall conduct their economic policies with a view to contributing to the achievement of the objectives of the Community, as defined in Article 2, and in the context of the broad guidelines referred to in Article 103(2). The Member States and the Community shall act in accordance with the principle of an open market economy with free competition, favouring an efficient allocation of resources, and in compliance with the principles set out in Article 3a.",
***,,103,insert,,"Article 103 1. Member States shall regard their economic policies as a matter of common concern and shall coordinate them within the Council, in accordance with the provisions of Article 102a. 2. The Council shall, acting by a qualified majority on a recommendation from the Commission, formulate a draft for the broad guidelines of the economic policies of the Member States and of the Community, and shall report its findings to the European Council. The European Council shall, acting on the basis of the report from the Council, discuss a conclusion on the broad guidelines of the economic policies of the Member States and of the Community. On the basis of this conclusion, the Council shall, acting by a qualified majority, adopt a recommendation setting out these broad guidelines. The Council shall inform the European Parliament of its recommendation. 3. In order to ensure closer coordination of economic policies and sustained convergence of the economic performances of the Member States, the Council shall, on the basis of reports submitted by the Commission, monitor economic developments in each of the Member States and in the Community as well as the consistency of economic policies with the broad guidelines referred to in paragraph 2, and regularly carry out an overall assessment. For the purpose of this multilateral surveillance, Member States shall forward information to the Commission about important measures taken by them in the field of their economic policy and such other information as they deem necessary. 4. Where it is established, under the procedure referred to in paragraph 3, that the economic policies of a Member State are not consistent with the broad guidelines referred to in paragraph 2 or that they risk jeopardizing the proper functioning of economic and monetary union, the Council may, acting by a qualified majority on a recommendation from the Commission, make the necessary recommendations to the Member State concerned. The Council may, acting by a qualified majority on a proposal from the Commission, decide to make its recommendations public. The President of the Council and the Commission shall report to the European Parliament on the results of multilateral surveillance. The President of the Council may be invited to appear before the competent Committee of the European Parliament if the Council has made its recommendations public. 5. The Council, acting in accordance with the procedure referred to in Article 189c, may adopt detailed rules for the multilateral surveillance procedure referred to in paragraphs 3 and 4 of this Article.",
***,,103a,insert,,"Article 103a 1. Without prejudice to any other procedures provided for in this Treaty, the Council may, acting unanimously on a proposal from the Commission, decide upon the measures appropriate to the economic situation, in particular if severe difficulties arise in the supply of certain products. 2. Where a Member State is in difficulties or is seriously threatened with severe difficulties caused by exceptional occurrences beyond its control, the Council may, acting unanimously on a proposal from the Commission, grant, under certain conditions, Community financial assistance to the Member State concerned. Where the severe difficulties are caused by natural disasters, the Council shall act by qualified majority. The President of the Council shall inform the European Parliament of the decision taken.",
***,,104,insert,,"Article 104 1. Overdraft facilities or any other type of credit facility with the ECB or with the central banks of the Member States (hereinafter referred to as “national central banks”) in favour of Community institutions or bodies, central governments, regional, local or other public authorities, other bodies governed by public law, or public undertakings of Member States shall be prohibited, as shall the purchase directly from them by the ECB or national central banks of debt instruments. 2. Paragraph 1 shall not apply to publicly-owned credit institutions which, in the context of the supply of reserves by central banks, shall be given the same treatment by national central banks and the ECB as private credit institutions.",
***,,104a,insert,,"Article 104a 1. Any measure, not based on prudential considerations, establishing privileged access by Community institutions or bodies, central governments, regional, local or other public authorities, other bodies governed by public law, or public undertakings of Member States to financial institutions shall be prohibited. 2. The Council, acting in accordance with the procedure referred to in Article 189c, shall, before 1 January 1994, specify definitions for the application of the prohibition referred to in paragraph 1.",
***,,104b,insert,,"Article 104b 1. The Community shall not be liable for or assume the commitments of central governments, regional, local or other public authorities, other bodies governed by public law, or public undertakings of any Member State, without prejudice to mutual financial guarantees for the joint execution of a specific project. A Member State shall not be liable for or assume the commitments of central governments, regional, local or other public authorities, other bodies governed by public law or public undertakings of another Member State, without prejudice to mutual financial guarantees for the joint execution of a specific project. 2. If necessary, the Council, acting in accordance with the procedure referred to in Article 189c, may specify definitions for the application of the prohibitions referred to in Article 104 and in this Article.",
***,,104c,insert,,"Article 104c 1. Member States shall avoid excessive government deficits. 2. The Commission shall monitor the development of the budgetary situation and of the stock of government debt in the Member States with a view to identifying gross errors. In particular it shall examine compliance with budgetary discipline on the basis of the following two criteria: (a) whether the ratio of the planned or actual government deficit to gross domestic product exceeds a reference value, unless - either the ratio has declined substantially and continuously and reached a level that comes close to the reference value; - or, alternatively, the excess over the reference value is only exceptional and temporary and the ratio remains close to the reference value; (b) whether the ratio of government debt to gross domestic product exceeds a reference value, unless the ratio is sufficiently diminishing and approaching the reference value at a satisfactory pace. The reference values are specified in the Protocol on the excessive deficit procedure annexed to this Treaty. 3. If a Member State does not fulfil the requirements under one or both of these criteria, the Commission shall prepare a report. The report of the Commission shall also take into account whether the government deficit exceeds government investment expenditure and take into account all other relevant factors, including the medium term economic and budgetary position of the Member State. The Commission may also prepare a report if, notwithstanding the fulfilment of the requirements under the criteria, it is of the opinion that there is a risk of an excessive deficit in a Member State. 4. The Committee provided for in Article 109c shall formulate an opinion on the report of the Commission. 5. If the Commission considers that an excessive deficit in a Member State exists or may occur, the Commission shall address an opinion to the Council. 6. The Council shall, acting by a qualified majority on a recommendation from the Commission, and having considered any observations which the Member State concerned may wish to make, decide after an overall assessment whether an excessive deficit exists. 7. Where the existence of an excessive deficit is decided according to paragraph 6, the Council shall make recommendations to the Member State concerned with a view to bringing that situation to an end within a given period. Subject to the provisions of paragraph 8, these recommendations shall not be made public. 8. Where it establishes that there has been no effective action in response to its recommendations within the period laid down, the Council may make its recommendations public. 9. If a Member State persists in failing to put into practice the recommendations of the Council, the Council may decide to give notice to the Member State to take, within a specified time limit, measures for the deficit reduction which is judged necessary by the Council in order to remedy the situation. In such a case, the Council may request the Member State concerned to submit reports in accordance with a specific timetable in order to examine the adjustment efforts of that Member State. 10. The rights to bring actions provided for in Articles 169 and 170 may not be exercised within the framework of paragraphs 1 to 9 of this Article. 11. As long as a Member State fails to comply with a decision taken in accordance with paragraph 9, the Council may decide to apply or, as the case may be, intensify one or more of the following measures: - to require the Member State concerned to publish additional information, to be specified by the Council, before issuing bonds and securities; - to invite the European Investment Bank to reconsider its lending policy towards the Member State concerned; - to require the Member State concerned to make a non-interest-bearing deposit of an appropriate size with the Community until the excessive deficit has, in the view of the Council, been corrected; - to impose fines of an appropriate size. The President of the Council shall inform the European Parliament of the decisions taken. 12. The Council shall abrogate some or all of its decisions referred to in paragraphs 6 to 9 and 11 to the extent that the excessive deficit in the Member State concerned has, in the view of the Council, been corrected. If the Council has previously made public recommendations, it shall, as soon as the decision under paragraph 8 has been abrogated, make a public statement that an excessive deficit in the Member State concerned no longer exists. 13. When taking the decisions referred to in paragraphs 7 to 9, 11 and 12, the Council shall act on a recommendation from the Commission by a majority of two thirds of the votes of its members weighted in accordance with Article 148(2), excluding the votes of the representative of the Member State concerned. 14. Further provisions relating to the implementation of the procedure described in this Article are set out in the Protocol on the excessive deficit procedure annexed to this Treaty. The Council shall, acting unanimously on a proposal from the Commission and after consulting the European Parliament and the ECB, adopt the appropriate provisions which shall then replace the said Protocol. Subject to the other provisions of this paragraph the Council shall, before 1 January 1994, acting by a qualified majority on a proposal from the Commission and after consulting the European Parliament, lay down detailed rules and definitions for the application of the provisions of the said Protocol.",
***,,105,insert,,"Article 105 1. The primary objective of the ESCB shall be to maintain price stability. Without prejudice to the objective of price stability, the ESCB shall support the general economic policies in the Community with a view to contributing to the achievement of the objectives of the Community as laid down in Article 2. The ESCB shall act in accordance with the principle of an open market economy with free competition, favouring an efficient allocation of resources, and in compliance with the principles set out in Article 3a. 2. The basic tasks to be carried out through the ESCB shall be: - to define and implement the monetary policy of the Community; - to conduct foreign exchange operations consistent with the provisions of Article 109; - to hold and manage the official foreign reserves of the Member States; - to promote the smooth operation of payment systems. 3. The third indent of paragraph 2 shall be without prejudice to the holding and management by the governments of Member States of foreign exchange working balances. 4. The ECB shall be consulted: - on any proposed Community act in its fields of competence; - by national authorities regarding any draft legislative provision in its fields of competence, but within the limits and under the conditions set out by the Council in accordance with the procedure laid down in Article 106(6). The ECB may submit opinions to the appropriate Community institutions or bodies or to national authorities on matters in its fields of competence. 5. The ESCB shall contribute to the smooth conduct of policies pursued by the competent authorities relating to the prudential supervision of credit institutions and the stability of the financial system. 6. The Council may, acting unanimously on a proposal from the Commission and after consulting the ECB and after receiving the assent of the European Parliament, confer upon the ECB specific tasks concerning policies relating to the prudential supervision of credit institutions and other financial institutions with the exception of insurance undertakings.",
***,,105a,insert,,"Article 105a 1. The ECB shall have the exclusive right to authorize the issue of bank notes within the Community. The ECB and the national central banks may issue such notes. The bank notes issued by the ECB and the national central banks shall be the only such notes to have the status of legal tender within the Community. 2. Member States may issue coins subject to approval by the ECB of the volume of the issue. The Council may, acting in accordance with the procedure referred to in Article 189c and after consulting the ECB, adopt measures to harmonize the denominations and technical specifications of all coins intended for circulation to the extent necessary to permit their smooth circulation within the Community.",
***,,106,insert,,"Article 106 1. The ESCB shall be composed of the ECB and of the national central banks. 2. The ECB shall have legal personality. 3. The ESCB shall be governed by the decision-making bodies of the ECB which shall be the Governing Council and the Executive Board. 4. The Statute of the ESCB is laid down in a Protocol annexed to this Treaty. 5. Articles 5.1, 5.2, 5.3, 17, 18, 19.1, 22, 23, 24, 26, 32.2, 32.3, 32.4, 32.6, 33.1(a) and 36 of the Statute of the ESCB may be amended by the Council, acting either by a qualified majority on a recommendation from the ECB and after consulting the Commission or unanimously on a proposal from the Commission and after consulting the ECB. In either case, the assent of the European Parliament shall be required. 6. The Council, acting by a qualified majority either on a proposal from the Commission and after consulting the European Parliament and the ECB or on a recommendation from the ECB and after consulting the European Parliament and the Commission, shall adopt the provisions referred to in Articles 4, 5.4, 19.2, 20, 28.1, 29.2, 30.4 and 34.3 of the Statute of the ESCB.",
