id,article,txt
1.2.1.14,14,"Article 14 In the execution of its responsibilities under the present Treaty and in accordance with the provisions thereof, the High Authority shall issue decisions, recommendations and opinions. Decisions shall be binding in all their details. Recommendations shall be binding with respect to the objectives which they specify but shall leave to those to whom they are directed the choice of appropriate means for attaining these objectives. Opinions shall not be binding. When the High Authority is empowered to issue a decision, it may limit itself to making a recommendation."
1.2.1.15,15,"Article 15 The decisions, recommendations and opinions of the High Authority shall state the reasons therefor, and shall take note of the opinions which the High Authority is required to obtain. When such decisions and recommendations are individual in character, they shall be binding on the interested party upon their notification to him. In other cases, they shall take effect automatically upon publication. The High Authority shall determine the manner in which the provisions of the present article are to be carried out."
1.2.1.16,16,"Article 16 The Commission shall make all appropriate administrative arrangements for the operation of its departments. It may set up study committees, including an economic study committee. The Council and the Commission shall consult each other and shall settle by common accord their methods of cooperation. The Commission shall adopt its rules of procedure so as to ensure that both it and its departments operate in accordance with the provisions of this Treaty. It shall ensure that these rules are published."
1.2.1.17,17,"Article 17 The Commission shall publish annually, not later than one month before the opening of the session of the European Parliament, a general report on the activities of the Community."
1.2.1.18,18,"Article 18 There shall be created a Consultative Committee, attached to the High Authority. It shall consist of not less than thirty and not more than fifty-one members, and shall include producers, workers and consumers and dealers in equal numbers. The members of the Consultative Committee shall be appointed by the Council. As concerns producers and workers, the Council shall designate the representative organizations among which it shall allocate the seats to be filled. Each organization shall be asked to draw up a list comprising twice the number of seats allocated to it. Designations shall be made from this list. The members of the Consultative Committee shall be designated in their individual capacity. They shall not be bound by any mandate or instruction from the organizations which proposed them as candidates. A President and officers shall be elected for one-year terms by the Consultative Committee from its own membership. The Committee shall fix its own rules of procedure.  The Council shall, acting by a qualified majority, determine any payment to be made instead of remuneration."
1.2.1.19,19,"Article 19 The High Authority may consult the Consultative Committee in any case it deems proper. It shall be required to do so whenever such consultation is prescribed by the present Treaty. The High Authority shall submit to the Consultative Committee the general objectives and programs established under the terms of Article 46, and shall keep the Committee informed of the broad lines of its action under the terms of Articles 54, 65 and 66. If the High Authority deems it necessary, it shall give the Consultative Committee a period in which to present its opinion of not less than ten days from the date of the notification to that effect addressed to the President of the Committee. The Consultative Committee shall be convoked by its President, either at the request of the High Authority or at the request of a majority of its members, for the purpose of discussing a given question. The minutes of the meetings shall be transmitted to the High Authority and to the Council at the same time as the opinions of the Committee."
1.2.1.8,8,Article 8 The High Authority shall be responsible for assuring the fulfillment of the purposes stated in the present Treaty under the terms thereof.
1.2.1.9,9,"Article 9 1. The Commission shall consist of seventeen members, who shall be chosen on the grounds of their general competence and whose independence is beyond doubt. The number of members of the Commission may be altered by the Council, acting unanimously. Only nationals of the Member States may be members of the Commission. The Commission must include at least one national of each of the Member States, but may not include more than two members having the nationality of the same State. 2. The members of the Commission shall, in the general interest of the Community, be completely independent in the performance of their duties. In the performance of these duties, they shall neither seek nor take instructions from any government or from any other body. They shall refrain from any action incompatible with their duties. Each Member State undertakes to respect this principle and not to seek to influence the members of the Commission in the performance of their tasks. The members of the Commission may not, during their term of office, engage in any other occupation, whether gainful or not. When entering upon their duties they shall give a solemn undertaking that, both during and after their term of office, they will respect the obligations arising therefrom and in particular their duty to behave with integrity and discretion as regards the acceptance, after they have ceased to hold office, of certain appointments or benefits. In the event of any breach of these obligations, the Court of Justice may, on application by the Council or the Commission, rule that the member concerned be, according to the circumstances, either compulsorily retired in accordance with Article 12a or deprived of his right to a pension or other benefits in its stead."
1.2.2.20,20,"Article 20 The Assembly, composed of representatives of the peoples of the member States of the Community, shall exercise the supervisory powers which are granted to it by the present Treaty."
1.2.2.20a,20a,"Article 20a The European Parliament may, acting by a majority of its members, request the Commission to submit any appropriate proposal on matters on which it considers that a Community act is required for the purpose of implementing this Treaty."
1.2.2.20b,20b,"Article 20b In the course of its duties, the European Parliament may, at the request of a quarter of its members, set up a temporary Committee of Inquiry to investigate, without prejudice to the powers conferred by this Treaty on other institutions or bodies, alleged contraventions or maladministration in the implementation of Community law, except where the alleged facts are being examined before a court and while the case is still subject to legal proceedings. The temporary Committee of Inquiry shall cease to exist on the submission of its report. The detailed provisions governing the exercise of the right of inquiry shall be determined by common accord of the European Parliament, the Council and the Commission."
1.2.2.20c,20c,"Article 20c Any citizen of the Union, and any natural or legal person residing or having its registered office in a Member State, shall have the right to address, individually or in association with other citizens or persons, a petition to the European Parliament on a matter which comes within the Community's fields of activity and which affects him, her or it directly."
1.2.2.20d,20d,"Article 20d 1. The European Parliament shall appoint an Ombudsman empowered to receive complaints from any citizen of the Union or any natural or legal person residing or having its registered office in a Member State concerning instances of maladministration in the activities of the Community institutions or bodies, with the exception of the Court of Justice and the Court of First Instance acting in their judicial role. In accordance with his duties, the Ombudsman shall conduct inquiries for which he finds grounds, either on his own initiative or on the basis of complaints submitted to him direct or through a member of the European Parliament, except where the alleged facts are or have been the subject of legal proceedings. Where the Ombudsman establishes an instance of maladministration, he shall refer the matter to the institution concerned, which shall have a period of three months in which to inform him of its views. The Ombudsman shall then forward a report to the European Parliament and the institution concerned. The person lodging the complaint shall be informed of the outcome of such inquiries. The Ombudsman shall submit an annual report to the European Parliament on the outcome of his inquiries. 2. The Ombudsman shall be appointed after each election of the European Parliament for the duration of its term of office. The Ombudsman shall be eligible for reappointment. The Ombudsman may be dismissed by the Court of Justice at the request of the European Parliament if he no longer fulfils the conditions required for the performance of his duties or if he is guilty of serious misconduct. 3. The Ombudsman shall be completely independent in the performance of his duties. In the performance of those duties he shall neither seek nor take instructions from any body. The Ombudsman may not, during his term of office, engage in any other occupation, whether gainful or not. 4. The European Parliament shall, after seeking an opinion from the Commission and with the approval of the Council acting by a qualified majority, lay down the regulations and general conditions governing the performance of the Ombudsman's duties."
1.2.2.21,21,"Article 21 The Assembly shall be composed of delegates whom the parliaments of each of the member States shall be called upon to designate once a year from among their own membership, or who shall be elected by direct universal suffrage, according to the procedure determined by each respective High Contracting Party. The European Parliament shall draw up proposals for elections by direct universal suffrage in accordance with a uniform procedure in all Member States. The Council shall, acting unanimously after obtaining the assent of the European Parliament, which shall act by a majority of its component members, lay down the appropriate provisions, which it shall recommend to Member States for adoption in accordance with their respective constitutional requirements."
1.2.2.22,22,"Article 22 The Assembly shall hold an annual session. It shall meet, without requiring to be convened, on the second Tuesday in March. The Assembly may be convoked in extraordinary session on the request of the Council in order to state its opinion on such questions as may be put to it by the Council. It may also meet in extraordinary session on the request of a majority of its members or of the High Authority."
1.2.2.23,23,Article 23 The Assembly shall designate its President and officers from among its membership. The members of the High Authority may attend all meetings. The President of the High Authority or such of its members as it may designate shall be heard at their request. The High Authority shall reply orally or in writing to all questions put to it by the Assembly or its members. The members of the Council may attend all meetings and shall be heard at their request.
1.2.2.24,24,"Article 24 The European Parliament shall discuss in open session the general report submitted to it by the Commission. If a motion of censure on the activities of the Commission is tabled before it, the European Parliament shall not vote thereon until at least three days after the motion has been tabled and only by open vote. If a motion of censure is carried by a two-thirds majority of the votes cast, representing a majority of the members of the European Parliament, the members of the Commission shall resign as a body. They shall continue to deal with current business until they are replaced in accordance with Article 10. In this case, the term of office of the members of the Commission appointed to replace them shall expire on the date on which the term of office of the members of the Commission obliged to resign as a body would have expired."
1.2.2.25,25,"Article 25 The Assembly shall fix its own rules of procedure, by vote of a majority of its total membership. The acts of the Assembly shall be published in a manner to be prescribed in such rules of procedure."
1.2.3.26,26,"Article 26 The Council shall exercise its functions in the events and in the manner provided in the present Treaty, in particular with a view to harmonizing the action of the High Authority and that of the governments, which are responsible for the general economic policy of their countries. To this end, the Council and the High Authority shall consult together and exchange information. The Council may request the High Authority to examine all proposals and measures which it may deem necessary or appropriate for the realization of the common objectives."
1.2.3.27,27,"Article 27 The Council shall consist of a representative of each Member State at ministerial level, authorized to commit the government of that Member State. The office of President shall be held in turn by each Member State in the Council for a term of six months, in the following order of Member States: - for a first cycle of six years: Belgium, Denmark, Germany, Greece, Spain, France, Ireland, Italy, Luxembourg, Netherlands, Portugal, United Kingdom; - for the following cycle of six years: Denmark, Belgium, Greece, Germany, France, Spain, Italy, Ireland, Netherlands, Luxembourg, United Kingdom, Portugal."
1.2.3.27a,27a,Article 27a The Council shall meet when convened by its President on his own initiative or at the request of one of its members or of the Commission.
1.2.3.28,28,"Article 28 Meetings of the Council shall be called by its President on the request of a State or of the High Authority. When the Council is consulted by the High Authority, it may deliberate without necessarily proceeding to a vote. The minutes of its meetings shall be forwarded to the High Authority. Wherever the present Treaty requires the concurrence of the Council, this concurrence shall be deemed to have been granted if the proposal submitted by the High Authority is approved: by an absolute majority of the representatives of the member States, including the vote of the representative of one of the States which produces at least twenty percent of the total value of coal and steel produced in the Community; or, in case of an equal division of votes, and if the High Authority maintains its proposal after a second reading, by the representatives of two member States, each of which produces at least twenty percent of the total value of coal and steel in the Community. Wherever the present Treaty requires a unanimous decision or unanimous concurrence, such decision or concurrence will be adopted if supported by the votes of all of the members of the Council. However, for the purposes of applying Articles 21, 32, 32a, 78d and 78f of this Treaty, and Article 16, the third paragraph of Article 20, the fifth paragraph of Article 28 and Article 44 of the Protocol on the Statute of the Court of Justice, abstention by members present in person or represented shall not prevent the adoption by the Council of acts which require unanimity. The decisions of the Council, other than those which require a qualified majority or a unanimous vote, will be taken by a vote of the majority of the total membership. This majority shall be deemed to exist if it includes the absolute majority of the representatives of the member States including the vote of the representative of one of the States which produces at least twenty percent of the total value of coal and steel produced in the Community. However, for the purposes of applying those provisions of Articles 78, 78b and 78d of this Treaty which require a qualified majority, the votes of the members of the Council shall be weighted as follows: Belgium 2, Germany 4, France 4, Italy 4, Luxembourg 1, Netherlands 2. For their adoption, acts shall require at least twelve votes in favour, cast by not less than four members. In case of a vote, any member of the Council may act as proxy for not more than one other member. The Council shall communicate with the member States through the intermediary of its President. The acts of the Council shall be published under a procedure which it shall establish."
1.2.3.29,29,"Article 29 The Council shall, acting by a qualified majority, determine the salaries, allowances and pensions of the President and members of the Commission, and of the President, Judges, Advocates-General and Registrar of the Court of Justice. It shall also, again by a qualified majority, determine any payment to be made instead of remuneration."
1.2.3.30,30,"Article 30 1. A committee consisting of the Permanent Representatives of the Member States shall be responsible for preparing the work of the Council and for carrying out the tasks assigned to it by the Council. 2. The Council shall be assisted by a General Secretariat, under the direction of a Secretary-General. The Secretary-General shall be appointed by the Council acting unanimously. The Council shall decide on the organization of the General Secretariat. 3. The Council shall adopt its rules of procedure."
1.2.4.31,31,Article 31 The function of the Court is to ensure the rule of law in the interpretation and application of the present Treaty and of its implementing regulations.
1.2.4.32,32,"Article 32 The Court of Justice shall consist of thirteen Judges. The Court of Justice shall sit in plenary session. It may, however, form Chambers, each consisting of three or five Judges, either to undertake certain preparatory inquiries or to adjudicate on particular categories of cases in accordance with the rules laid down for these purposes. The Court of Justice shall sit in plenary session when a Member State or a Community institution that is a party to the proceedings so requests. Should the Court of Justice so request, the Council may, acting unanimously, increase the number of Judges and make the necessary adjustments to the second and third paragraphs of this Article and to the second paragraph of Article 32b."
1.2.4.32d,32d,"Article 32d 1. A Court of First Instance shall be attached to the Court of Justice with jurisdiction to hear and determine at first instance, subject to a right of appeal to the Court of Justice on points of law only and in accordance with the conditions laid down by the Statute, certain classes of action or proceeding defined in accordance with the conditions laid down in paragraph 2. The Court of First Instance shall not be competent to hear and determine questions referred for a preliminary ruling under Article 41. 2. At the request of the Court of Justice and after consulting the European Parliament and the Commission, the Council, acting unanimously, shall determine the classes of action or proceeding referred to in paragraph 1, and the composition of the Court of First Instance and shall adopt the necessary adjustments and additional provisions to the Statute of the Court of Justice. Unless the Council decides otherwise, the provisions of this Treaty relating to the Court of Justice, in particular the provisions of the Protocol on the Statute of the Court of Justice, shall apply to the Court of First Instance. 3. The members of the Court of First Instance shall be chosen from persons whose independence is beyond doubt and who possess the ability required for appointment to judicial office; they shall be appointed by common accord of the governments of the Member States for a term of six years. The membership shall be partially renewed every three years. Retiring members shall be eligible for re-appointment. 4. The Court of First Instance shall establish its rules of procedure in agreement with the Court of Justice. Those rules shall require the unanimous approval of the Council."
1.2.4.33,33,"Article 33 The Court of Justice shall have jurisdiction in actions brought by a Member State or by the Council to have decisions or recommendations of the Commission declared void on grounds of lack of competence, infringement of an essential procedural requirement, infringement of this Treaty or of any rule of law relating to its application, or misuse of powers. The Court of Justice may not, however, examine the evaluation of the situation, resulting from economic facts or circumstances, in the light of which the Commission took its decisions or made its recommendations, save where the Commission is alleged to have misused its powers or to have manifestly failed to observe the provisions of this Treaty or any rule of law relating to its application. Undertakings or associations referred to in Article 48 may, under the same conditions, institute proceedings against decisions or recommendations concerning them which are individual in character or against general decisions or recommendations which they consider to involve a misuse of powers affecting them. The proceedings provided for in the first two paragraphs of this Article shall be instituted within one month of the notification or publication, as the case may be, of the decision or recommendation. The Court of Justice shall have jurisdiction under the same conditions in actions brought by the European Parliament for the purpose of protecting its prerogatives."
1.2.4.34,34,"Article 34 If the Court should annul a decision or recommendation of the High Authority, the matter shall be remanded to the High Authority. The latter must take the necessary measures in order to give effect to the judgment of annulment. In case a decision or recommendation is adjudged by the Court to involve a fault for which the Community is liable, and causes a direct and particular injury to an enterprise or a group of enterprises, the High Authority must take such measures, within the powers granted to it by the present Treaty, as will assure an equitable redress for the injury resulting directly from the decision or recommendation which has been annulled, and, to the extent necessary, must grant a reasonable indemnity. If the High Authority fails to take within a reasonable period the measures required to give effect to a judgment of annulment, an appeal for damages may be brought before the Court."
1.2.4.35,35,"Article 35 In the cases where the High Authority is required by a provision of the present Treaty or of implementing regulations to issue a decision or recommendation, and fails to fulfill this obligation, such omission may be brought to its attention by the States, the Council or the enterprises and associations, as the case may be. The same shall be true if the High Authority refrains from issuing a decision or recommendation which it is empowered to issue by a provision of the present Treaty or implementing regulations, where such failure to act constitutes an abuse of power. If at the end of a period of two months the High Authority has not issued any decision or recommendation, an appeal may be brought before the Court, within a period of one month, against the implicit negative decision which is presumed to result from such failure to act."
1.2.4.36,36,"Article 36 Prior to imposing a pecuniary sanction or fixing a daily penalty payment provided for in the present Treaty, the High Authority shall give the interested enterprise an opportunity to present its views. An appeal to the general jurisdiction of the Court may be taken from the pecuniary sanctions and daily penalty payments imposed under the provisions of the present Treaty. In support of such an appeal, and under the terms of the first paragraph of Article 33 of the present Treaty, the petitioners may contest the regularity of the decisions and recommendations which they are charged with violating."
1.2.4.37,37,"Article 37 If a member State shall deem that in a given case an action of the High Authority, or a failure by it to act, is of such a nature as to provoke fundamental and persistent disturbances in the economy of such State, it may bring the matter to the attention of the High Authority. The latter, after having obtained the opinion of the Council, will recognize the existence of such situation, if any, and decide on the measures to be taken, under the terms of the present Treaty, to correct such situation while at the same time safeguarding the essential interests of the Community. When an appeal is taken to the Court under the provisions of the present Article against such decision or against the explicit or implicit decision refusing to recognize the existence of the situation mentioned above, the Court shall review the sufficiency of the grounds of such decision. In case of annulment, the High Authority shall decide, within the framework of the Court’s judgment, the measures to be taken to fulfill the objectives set forth in the second paragraph of the present article."
1.2.4.38,38,"Article 38 On the petition of a member State or of the High Authority, the Court may annul the acts of the Assembly or of the Council. The petition must be submitted within one month from the publication of such act of the Assembly or of the notification of such act of the Council to the member States or to the High Authority. Such an appeal may be based only on the grounds of lack of legal competence or substantial procedural violations."
1.2.4.39,39,"Article 39 Appeals to the Court shall not have the effect of suspending the execution of a decision or a recommendation. However, if in its judgment circumstances demand, the Court may order the suspension of the execution of the decision or recommendation in question. It may prescribe any other necessary provisional measures."
1.2.4.40,40,"Article 40 Subject to the provisions of the first paragraph of Article 34, the Court shall have jurisdiction to assess damages against the Community, at the request of the injured party, in cases where injury results from a fault involved in an official act of the Community in execution of the present Treaty. The Court shall also have jurisdiction to order the Community to make good any injury caused by a personal wrong by a servant of the Community in the performance of his duties. The personal liability of its servants towards the Community shall be governed by the provisions laid down in their Staff Regulations or the Conditions of Employment applicable to them. All other litigation between the Community and third parties, other than that relating to the application of the provisions of the present Treaty and implementing regulations, shall be brought before the national tribunals."
1.2.4.41,41,"Article 41 When the validity of acts of the High Authority or the Council is contested in litigation before a national tribunal, such issue shall be certified to the Court, which shall have exclusive jurisdiction to rule thereon."
1.2.4.42,42,Article 42 The Court shall have such jurisdiction as may be provided by any clause to such effect in a public or private contract to which the Community is a party or which is undertaken for its account.
1.2.4.43,43,"Article 43 The Court shall have jurisdiction in any other case provided for in a supplementary provision of the Treaty. It may also exercise jurisdiction in any case relating to the objects of the present Treaty, where the laws of a member State grant such jurisdiction to it."
1.2.4.44,44,Article 44 The judgments of the Court shall be executory on the territory of the member States under the terms of Article 92 below.
1.2.4.45,45,"Article 45 The Code of the Court shall be contained in a Protocol annexed to the present Treaty. The Council may, acting unanimously at the request of the Court of Justice and after consulting the Commission and the European Parliament, amend the provisions of Title III of the Statute."
1.2.5.45a,45a,Article 45a The Court of Auditors shall carry out the audit.
1.2.5.45b,45b,"Article 45b 1. The Court of Auditors shall consist of twelve members. 2. The members of the Court of Auditors shall be chosen from among persons who belong or have belonged in their respective countries to external audit bodies or who are especially qualified for this office. Their independence must be beyond doubt. 3. The members of the Court of Auditors shall be appointed for a term of six years by the Council, acting unanimously after consulting the European Parliament. However, when the first appointments are made, four members of the Court of Auditors, chosen by lot, shall be appointed for a term of office of four years only. The members of the Court of Auditors shall be eligible for reappointment. They shall elect the President of the Court of Auditors from among their number for a term of three years. The President may be re-elected. 4. The members of the Court of Auditors shall, in the general interest of the Community, be completely independent in the performance of their duties. In the performance of these duties, they shall neither seek nor take instructions from any government or from any other body. They shall refrain from any action incompatible with their duties. 5. The members of the Court of Auditors may not, during their term of office, engage in any other occupation, whether gainful or not. When entering upon their duties they shall give a solemn undertaking that, both during and after their term of office, they will respect the obligations arising therefrom and in particular their duty to behave with integrity and discretion as regards the acceptance, after they have ceased to hold office, of certain appointments or benefits. 6. Apart from normal replacement, or death, the duties of a member of the Court of Auditors shall end when he resigns, or is compulsorily retired by a ruling of the Court of Justice pursuant to paragraph 7. The vacancy thus caused shall be filled for the remainder of the member's term of office. Save in the case of compulsory retirement, members of the Court of Auditors shall remain in office until they have been replaced. 7. A member of the Court of Auditors may be deprived of his office or of his right to a pension or other benefits in its stead only if the Court of Justice, at the request of the Court of Auditors, finds that he no longer fulfils the requisite conditions or meets the obligations arising from his office. 8. The Council, acting by a qualified majority, shall determine the conditions of employment of the President and the members of the Court of Auditors and in particular their salaries, allowances and pensions. It shall also, by the same majority, determine any payment to be made instead of remuneration. 9. The provisions of the Protocol on the Privileges and Immunities of the European Communities applicable to the Judges of the Court of Justice shall also apply to the members of the Court of Auditors."
1.2.5.45c,45c,"Article 45c 1. The Court of Auditors shall examine the accounts of all revenue and expenditure of the Community. It shall also examine the accounts of all revenue and expenditure of all bodies set up by the Community in so far as the relevant constituent instrument does not preclude such examination. The Court of Auditors shall provide the European Parliament and the Council with a statement of assurance as to the reliability of the accounts and the legality and regularity of the underlying transactions. 2. The Court of Auditors shall examine whether all revenue referred to in paragraph 1 has been received and all expenditure referred to in that paragraph has been incurred in a lawful and regular manner and whether the financial management has been sound. The audit of revenue shall be carried out on the basis of the amounts established as due and the amounts actually paid to the Community. The audit of expenditure shall be carried out on the basis both of commitments undertaken and payments made. These audits may carried out before the closure of accounts for the financial year in question. 3. The audit shall be based on records and, if necessary, performed on the spot in the other institutions of the Community and in the Member States. In the Member States the audit shall be carried out in liaison with the national audit bodies or, if these do not have the necessary powers, with the competent national departments. These bodies or departments shall inform the Court of Auditors whether they intend to take part in the audit. The other institutions of the Community and the national audit bodies or, if these do not have the necessary powers, the competent national departments, shall forward to the Court of Auditors, at its request, any document or information necessary to carry out its task. 4. The Court of Auditors shall draw up an annual report after the close of each financial year. It shall be forwarded to the other institutions of the Community and shall be published, together with the replies of these institutions to the observations of the Court of Auditors, in the Official Journal of the European Communities. The Court of Auditors may also, at any time, submit observations, particularly in the form of special reports, on specific questions and deliver opinions at the request of one of the other institutions of the Community. It shall adopt its annual reports, special reports or opinions by a majority of its members. It shall assist the European Parliament and the Council in exercising their powers of control over the implementation of the budget. 5. The Court of Auditors shall also draw up a separate annual report stating whether the accounting other than that for the expenditure and revenue referred to in paragraph 1 and the financial management by the Commission relating thereto have been effected in a regular manner. It shall draw up this report within six months of the end of the financial year to which the accounts refer and shall submit it to the Commission and the Council. The Commission shall forward it to the European Parliament."
1.2.X.7,7,Article 7 The institutions of the Community shall be: - a HIGH AUTHORITY (hereinafter referred to as “the Commission”); - a COMMON ASSEMBLY (hereinafter referred to as “the European Parliament”); - a SPECIAL COUNCIL OF MINISTERS (hereinafter referred to as “the Council”); - a COURT OF JUSTICE; - a COURT OF AUDITORS. The Commission shall be assisted by a Consultative Committee.
1.3.1.46,46,"Article 46 The High Authority may at any time consult the governments, the various interested parties (enterprises, workers, consumers and dealers) and their associations, as well as any experts. Enterprises, workers, consumers and dealers, and their associations, may present any suggestions or observations to the High Authority on questions which concern them. In order to provide guidance for the action of all of the interested parties in the achievement of the purposes assigned to the Community, and to determine its own action within the framework of the present Treaty, the High Authority shall, by means of the consultations mentioned above: 1. carry on a permanent study of markets and price tendencies; 2. periodically draw up non-compulsory program forecasts dealing with production, consumption, exports and imports; 3. periodically work out general programs with respect to modernization, the long-term orientation of manufacturing and the expansion of productive capacity; 4. at the request of the interested governments, participate in the study of the possibilities of reemployment, either in existing industries or through the creation of new activities, of workers set at liberty by the evolution of the market or by technical transformations; 5. gather all information necessary to the appraisal of the possibilities of improving the living and working conditions of the labor force in the industries under its jurisdiction, and of the risks which menace such living conditions. It shall publish the general objectives and programs after having submitted them to the Consultative Committee. It may make public the studies and information mentioned above."
1.3.1.47,47,"Article 47 The High Authority may gather such information as may be necessary to the accomplishment of its mission. It may have the necessary verifications carried out. The High Authority shall not divulge information which by its nature is considered a professional secret, and in particular information pertaining to the commercial relations or the breakdown of the costs of production of enterprises. With this reservation, it shall publish such data as may be useful to governments or to any other interested parties. The High Authority may impose fines and daily penalty payments upon those enterprises which evade their obligations resulting from decisions made in application of the provisions of the present article, or which knowingly furnish false information. The maximum amount of such fines shall be one percent of the annual turnover and the maximum amount of such penalty payments shall be five percent of the average daily turnover for each day the violation continues. Any violation by the High Authority of professional secrecy which has caused damage to an enterprise may be the subject of a suit for damages before the Court under the conditions provided for in Article 40."
1.3.1.48,48,"Article 48 The right of enterprises to form associations is not affected by the present Treaty. Membership in such associations must be voluntary. The associations may engage in any activity which is not contrary to the provisions of the present Treaty or to the decisions or recommendations of the High Authority. In cases where the present Treaty requires the consultation of the Consultative Committee, any association has the right to submit to the High Authority, within the time limits fixed by the latter, the observations of its members on the action envisaged. The High Authority will normally call upon producers’ associations to obtain information which it requires or to facilitate the fulfillment of its tasks, provided that the associations in question either permit the qualified representatives of the workers and consumers to participate in the leadership of these associations or in consultative committees affiliated to them, or in any other way give a satisfactory place in their organization to the expression of the workers’ and consumers’ interests. The associations referred to in the preceding paragraph shall be obliged to furnish the High Authority with such information on their activity as the High Authority may deem necessary. The observations mentioned in the second paragraph of the present article and the information furnished under the fourth paragraph shall also be forwarded by the associations to the government concerned."
