id,txt,action,change_id,new_id,change_txt,new_txt
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.1.X.X.X.5a,3.1.X.X.X.11,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.1.X.X.X.6,3.1.X.X.X.12,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.1.X.X.X.6a,3.1.X.X.X.13,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.1.X.X.X.7a,3.1.X.X.X.14,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.1.X.X.X.7c,3.1.X.X.X.15,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.1.X.X.X.7d,3.1.X.X.X.16,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.2.X.X.X.8,3.2.X.X.X.17,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.2.X.X.X.8a,3.2.X.X.X.18,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.2.X.X.X.8b,3.2.X.X.X.19,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.2.X.X.X.8c,3.2.X.X.X.20,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.2.X.X.X.8d,3.2.X.X.X.21,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.2.X.X.X.8e,3.2.X.X.X.22,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.3.1.X.X.9,3.3.1.X.X.23,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.3.1.X.X.10,3.3.1.X.X.24,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.3.1.1.X.12,3.3.1.1.X.25,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.3.1.1.X.28,3.3.1.1.X.26,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.3.1.1.X.29,3.3.1.1.X.27,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.3.1.2.X.30,3.3.1.2.X.28,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.3.1.2.X.34,3.3.1.2.X.29,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.3.1.2.X.36,3.3.1.2.X.30,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.3.1.2.X.37,3.3.1.2.X.31,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.3.2.X.X.38,3.3.2.X.X.32,NA,NA
